id,award_number,mechanism,sponsor,funder_abbreviation,title,role,status,total_cost,start_date,end_date,effort_percent
grant-01,P30AG086563,P30,National Institutes of Health National Institute on Aging,NIA,Roybal Center for Elder Mistreatment Intervention Research,MPI,funded,5850000,2024-08-15,2029-05-31,25
grant-02,R33AG078523,R33,National Institutes of Health National Institute on Aging,NIA,Detection of Elder mistreatment Through Emergency Care Technicians - Revised for Primary Care (DETECT-RPC),PI,funded,4664014,2024-08-31,2028-08-31,30
grant-03,R61AG078523,R61,National Institutes of Health National Institute on Aging,NIA,Detection of Elder mistreatment Through Emergency Care Technicians - Revised for Primary Care (DETECT-RPC),PI,completed,1248054,2022-09-15,2024-08-31,30
grant-04,,,John A. Hartford Foundation,JAH,National Collaboratory to Address Elder Mistreatment in the Emergency Department: Phase III,Co-I,funded,247000,2021-01-01,2027-12-31,5
grant-05,R01AG059993,R01,National Institutes of Health National Institute on Aging,NIA,Detection of Elder abuse Through Emergency Care Technicians (DETECT),PI,completed,1657505,2018-09-15,2025-05-31,30
grant-06,HHS-2019-ACL-AOA-EJSG-0350,,US Department of Health and Human Services Administration on Community Living,ACL,Building Capacity to Improve Texas Adult Protective Services Financial Exploitation Investigations and Client Services,Co-I,completed,974000,2020-01-01,2022-12-31,10
grant-07,2019-040,,Retirement Research Foundation,RRF,Leveraging prehospital care to promote older adults' health and safety: An elder mistreatment training curriculum for emergency medical service providers,Consultant,completed,,2019-07-15,2021-01-15,
grant-08,2017-VF-GX-0001,,United States Department of Justice National Institute of Justice,NIJ,Defining Late-Life Poly-victimization and Identifying Associated Mental and Physical Health Symptoms,Co-I,completed,271822,2018-01-01,2019-12-31,10
grant-09,R01MD010733,R01,National Institutes of Health National Institute on Minority Health and Health Disparities,NIMHD,mHealth to Increase Service Utilization in Recently Incarcerated Homeless Adults,Site PI,completed,3326084,2017-09-26,2024-05-31,15
grant-10,VA HSR&D CDA-2,CDA-2,United States Department of Veterans Affairs,VA,Moving to Improve Chronic Back Pain and Depression in Older Adults (MOTIVATE),Site PI,completed,996520,2016-10-01,2022-04-01,30
grant-11,ASTWH150033-01-00,,US Department of Health and Human Services Office of Women's Health,OWH,Technology Enhanced Screening and Supportive Assistance (TESSA),Co-I,completed,2199999,2015-08-15,2018-07-31,10
grant-12,,,US Department of Health and Human Services Health Resources and Services Administration,HRSA,Workforce Enhancement Healthy Aging and Independent Living (WE HAIL),Key Personnel,completed,2550000,2015-07-01,2018-06-30,10
grant-13,2014-MU-CX-0102,,United States Department of Justice National Institute of Justice,NIJ,Development of a Brief Elder Abuse and Neglect Screener for Emergency Medical Services: Detection of Elder abuse Through Emergency Care Technicians (DETECT),PI,completed,378519,2015-01-01,2018-12-31,30
grant-14,,,Centers for Medicare and Medicaid Services,CMS,Medicaid 1115 Waiver - Texas Health Care Transformation and Quality Improvement Program (Delivery System Reform Incentive Payment Project): Managing Chronically Ill Medicaid Patients Using Interventional Telehealth,PI,completed,5893112,2013-06-01,2017-12-31,30
grant-15,,,Florida Developmental Disabilities Council,FDDC,Florida Office on Disability & Health Web-based Health Care Proxy Survey,Key Personnel,completed,14476,2009-01-05,2010-06-30,50
grant-16,U59 DD000273,,Centers for Disease Control and Prevention,CDC,Florida Disability & Health Program (state capacity building),Key Personnel,completed,1767670,2007-07-01,2012-03-31,50